schemaname,tablename,policyname,permissive,roles,command,using_expression,with_check
public,onboarding_progress,company_onboarding_progress_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,onboarding_progress,company_onboarding_progress_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,payment_deliveries,company_payment_deliveries_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,payment_deliveries,company_payment_deliveries_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,payment_deliveries,company_payment_deliveries_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,payment_deliveries,company_payment_deliveries_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,payment_settings,company_payment_settings_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,payment_settings,company_payment_settings_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,payment_settings,company_payment_settings_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,payment_settings,company_payment_settings_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,payments,company_payments_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,payments,company_payments_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,payments,company_payments_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,payments,company_payments_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,payroll_runs,company_payroll_runs_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,payroll_runs,company_payroll_runs_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,payroll_runs,company_payroll_runs_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,payroll_runs,company_payroll_runs_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,profiles,Users can insert own profile,PERMISSIVE,{public},INSERT,null,"(auth.uid() IN ( SELECT users.auth_user_id
   FROM users
  WHERE (users.id = profiles.user_id)))"
public,profiles,Users can update own profile,PERMISSIVE,{public},UPDATE,"(auth.uid() IN ( SELECT users.auth_user_id
   FROM users
  WHERE (users.id = profiles.user_id)))","(auth.uid() IN ( SELECT users.auth_user_id
   FROM users
  WHERE (users.id = profiles.user_id)))"
public,profiles,Users can view own profile,PERMISSIVE,{public},SELECT,"(auth.uid() IN ( SELECT users.auth_user_id
   FROM users
  WHERE (users.id = profiles.user_id)))",null
public,profiles,app_owner_bypass,PERMISSIVE,{public},ALL,(auth.role() = 'APP_OWNER'::text),null
public,profiles,profiles_delete_own,PERMISSIVE,{public},DELETE,(user_id = auth.uid()),null
public,profiles,profiles_insert_own,PERMISSIVE,{public},INSERT,null,(user_id = auth.uid())
public,profiles,profiles_select_own,PERMISSIVE,{public},SELECT,(user_id = auth.uid()),null
public,profiles,profiles_update_own,PERMISSIVE,{public},UPDATE,(user_id = auth.uid()),(user_id = auth.uid())
public,purchase_orders,company_purchase_orders_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,purchase_orders,company_purchase_orders_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,purchase_orders,company_purchase_orders_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,purchase_orders,company_purchase_orders_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,quote_analytics,company_quote_analytics_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,quote_analytics,company_quote_analytics_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,quote_analytics,company_quote_analytics_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,quote_analytics,company_quote_analytics_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,quote_approval_workflows,company_quote_approval_workflows_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,quote_approval_workflows,company_quote_approval_workflows_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,quote_approval_workflows,company_quote_approval_workflows_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,quote_approval_workflows,company_quote_approval_workflows_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,quote_approvals,anon_insert_quote_approvals,PERMISSIVE,{anon},INSERT,null,"(EXISTS ( SELECT 1
   FROM work_orders
  WHERE ((work_orders.id = quote_approvals.quote_id) AND (work_orders.status = 'sent'::work_order_status_enum))))"
public,quote_change_requests,anon_insert_quote_change_requests,PERMISSIVE,{anon},INSERT,null,"(EXISTS ( SELECT 1
   FROM work_orders
  WHERE ((work_orders.id = quote_change_requests.quote_id) AND (work_orders.status = 'sent'::work_order_status_enum))))"
public,quote_defaults,company_quote_defaults_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,quote_defaults,company_quote_defaults_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,quote_defaults,company_quote_defaults_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,quote_defaults,company_quote_defaults_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,quote_deliveries,company_quote_deliveries_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,quote_deliveries,company_quote_deliveries_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,quote_deliveries,company_quote_deliveries_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,quote_deliveries,company_quote_deliveries_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,quote_deposits,anon_insert_quote_deposits,PERMISSIVE,{anon},INSERT,null,"(EXISTS ( SELECT 1
   FROM work_orders
  WHERE ((work_orders.id = quote_deposits.quote_id) AND (work_orders.status = 'sent'::work_order_status_enum))))"
public,quote_follow_ups,company_quote_follow_ups_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,quote_follow_ups,company_quote_follow_ups_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,quote_follow_ups,company_quote_follow_ups_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,quote_follow_ups,company_quote_follow_ups_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,quote_rejections,anon_insert_quote_rejections,PERMISSIVE,{anon},INSERT,null,"(EXISTS ( SELECT 1
   FROM work_orders
  WHERE ((work_orders.id = quote_rejections.quote_id) AND (work_orders.status = 'sent'::work_order_status_enum))))"
public,quote_responses,company_quote_responses_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,quote_responses,company_quote_responses_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,quote_responses,company_quote_responses_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,quote_responses,company_quote_responses_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,quote_signatures,anon_insert_quote_signatures,PERMISSIVE,{anon},INSERT,null,"(EXISTS ( SELECT 1
   FROM work_orders
  WHERE ((work_orders.id = quote_signatures.quote_id) AND (work_orders.status = 'sent'::work_order_status_enum))))"
public,quote_templates,company_quote_templates_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,quote_templates,company_quote_templates_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,quote_templates,company_quote_templates_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,quote_templates,company_quote_templates_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,rate_cards,company_rate_cards_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,rate_cards,company_rate_cards_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,rate_cards,company_rate_cards_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,rate_cards,company_rate_cards_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,recurring_schedules,company_recurring_schedules_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,recurring_schedules,company_recurring_schedules_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,recurring_schedules,company_recurring_schedules_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,recurring_schedules,company_recurring_schedules_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,reimbursement_requests,company_reimbursement_requests_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,reimbursement_requests,company_reimbursement_requests_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,reimbursement_requests,company_reimbursement_requests_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,reimbursement_requests,company_reimbursement_requests_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,schedule_events,company_schedule_events_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,schedule_events,company_schedule_events_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,schedule_events,company_schedule_events_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,schedule_events,company_schedule_events_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,service_address_tax_rates,company_service_address_tax_rates_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,service_address_tax_rates,company_service_address_tax_rates_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,service_address_tax_rates,company_service_address_tax_rates_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,service_address_tax_rates,company_service_address_tax_rates_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,service_agreements,company_service_agreements_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,service_agreements,company_service_agreements_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,service_agreements,company_service_agreements_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
public,service_agreements,company_service_agreements_update,PERMISSIVE,{public},UPDATE,(company_id = user_company_id()),(company_id = user_company_id())
public,service_categories,company_service_categories_delete,PERMISSIVE,{public},DELETE,(company_id = user_company_id()),null
public,service_categories,company_service_categories_insert,PERMISSIVE,{public},INSERT,null,(company_id = user_company_id())
public,service_categories,company_service_categories_select,PERMISSIVE,{public},SELECT,(company_id = user_company_id()),null
