table_name,constraint_name,definition
document_workflows,document_workflows_document_id_fkey,FOREIGN KEY (document_id) REFERENCES documents(id) ON DELETE CASCADE
document_workflows,document_workflows_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
workflow_approvals,workflow_approvals_approver_user_id_fkey,FOREIGN KEY (approver_user_id) REFERENCES users(id) ON DELETE SET NULL
workflow_approvals,workflow_approvals_workflow_id_fkey,FOREIGN KEY (workflow_id) REFERENCES document_workflows(id) ON DELETE CASCADE
workflow_approvals,workflow_approvals_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
document_access_log,document_access_log_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
document_access_log,document_access_log_document_id_fkey,FOREIGN KEY (document_id) REFERENCES documents(id) ON DELETE CASCADE
document_access_log,document_access_log_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE SET NULL
lead_sources,lead_sources_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
leads,leads_assigned_to_fkey,FOREIGN KEY (assigned_to) REFERENCES users(id) ON DELETE SET NULL
leads,leads_lead_source_id_fkey,FOREIGN KEY (lead_source_id) REFERENCES lead_sources(id) ON DELETE SET NULL
leads,leads_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE SET NULL
leads,leads_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
opportunities,opportunities_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
opportunities,opportunities_work_order_id_fkey,FOREIGN KEY (work_order_id) REFERENCES work_orders(work_order_id) ON DELETE SET NULL
opportunities,opportunities_lead_id_fkey,FOREIGN KEY (lead_id) REFERENCES leads(id) ON DELETE SET NULL
opportunities,opportunities_customer_id_fkey,FOREIGN KEY (customer_id) REFERENCES customers(id) ON DELETE SET NULL
sales_activities,sales_activities_lead_id_fkey,FOREIGN KEY (lead_id) REFERENCES leads(id) ON DELETE CASCADE
sales_activities,sales_activities_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE SET NULL
sales_activities,sales_activities_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
sales_activities,sales_activities_opportunity_id_fkey,FOREIGN KEY (opportunity_id) REFERENCES opportunities(id) ON DELETE CASCADE
sales_targets,sales_targets_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
sales_targets,sales_targets_user_id_fkey,FOREIGN KEY (user_id) REFERENCES users(id) ON DELETE SET NULL
invoice_commissions,invoice_commissions_invoice_id_fkey,FOREIGN KEY (invoice_id) REFERENCES invoices(id) ON DELETE CASCADE
invoice_commissions,invoice_commissions_company_id_fkey,FOREIGN KEY (company_id) REFERENCES companies(id) ON DELETE CASCADE
invoice_commissions,invoice_commissions_sales_rep_id_fkey,FOREIGN KEY (sales_rep_id) REFERENCES users(id) ON DELETE CASCADE
